,date,Open,High,Low,Last,Close,Volume,BidVolume,AskVolume,returns,scaled_returns,OHLCAvg,rv5_1,rv5_5,rv5_21,hp,hp_signal,10_range,10_high_x,10_low_x,momentum_8,momentum_12,kama_5_x,kama_20_x,VSA,HAR_preds,ann_vol,target_returns
2385,2015-11-23,1549.0,1549.8,1538.9,1543.2,1543.2,105226,52975,52251,-0.0036868189621941,-0.0087839671388238,1545.225,0.0048549537882614,0.0026564985683493,0.0010964554764345,0.9402794460618796,0.0,0.8282327586206928,0.0162608365982535,-0.0086526982857436,-0.0124289200190368,-0.0107635340333036,-0.0076321152758575,-0.0042991416019886,-0.1570450293032455,0.0090987809795349,0.0629582096095102,-0.0758018091392982
2386,2015-11-24,1543.2,1554.6,1542.1,1548.9,1548.9,107305,51976,55329,0.0036868189621941,0.0085828222100392,1547.2000000000005,0.0052139493783492,0.0026617738876929,0.0011095622472704,0.9456664244542374,0.0,0.8217684165508424,0.015036454712373,-0.0074246394637857,-0.0051516631419152,-0.0053443351825874,-0.0036243843427492,-0.000550611182064,-0.0571890704873278,0.0092251036235979,0.0644336828604292,-0.0170151658481487
2387,2015-11-25,1548.9,1554.3,1541.0,1544.0,1544.0,86340,43486,42854,-0.0031685499689917,-0.0076134905933564,1547.05,0.0048613108279549,0.0019589158467926,0.0011197401854887,0.9565671554310397,0.0,1.123931172806916,0.0151392183793232,-0.0045885878386815,0.0012313277211113,-0.0085771009165709,-0.0062647603718006,-0.0033978230309794,0.0575849119802365,0.0090797021231871,0.062426358779965,-0.0506762764007859
2388,2015-11-26,1543.9,1548.1,1543.0,1545.1,1545.1,14438,7665,6773,0.0007121815716502,0.0017735937300673,1545.025,0.0032476008832668,0.0019349742310313,0.0011178962995948,0.905389482236018,0.0,0.8245371355607548,0.0100433478718782,-0.0023585467008609,0.0002589164361666,-0.0078649193449207,-0.0052416344204645,-0.0025702915264979,-0.1084795403613538,0.0084448364761319,0.0602320779198257,0.0204410659942555
2389,2015-11-27,1545.1,1547.1,1525.8,1530.3,1530.3,110712,56806,53906,-0.0096248385593815,-0.0206486434677086,1537.075,0.0096511512207174,0.0023693681785429,0.0011872423178694,0.9805655407266328,0.0,0.8280615516135899,0.0150236286593154,-0.0073320310522569,-0.0161403601091842,-0.0208233080135658,-0.0124397643799874,-0.0112898068066212,0.5016901500520055,0.010947865057518,0.0699186746172939,-0.1717498542808294
2390,2015-11-28,1545.1,1547.1,1525.8,1530.3,1530.3,0,0,0,0.0,0.0,1537.075,,,,1.0440092131663006,-1.0,0.8316162266580783,0.0150369273136943,-0.007338521238421,-0.013178158187868,-0.0172328700986383,-0.0108664579958485,-0.0103729749199892,0.8035250871718093,,0.0672652344598807,-0.1319114854213562
2391,2015-11-29,1530.2,1532.2,1530.2,1530.4,1530.4,2149,1219,930,6.534452905260224e-05,0.0001514877098237,1530.75,,,,0.9600005897140298,-1.0,0.8317947617002978,0.0190126412859845,-0.0113073533842511,-0.0131128136588154,-0.0076159847375674,-0.0069501257123131,-0.0093159609462403,-0.5116996663229103,,0.0647028024207012,-0.1470407302525377
2392,2015-11-30,1530.4,1543.3,1526.4,1537.8,1537.8,100528,50524,50004,0.0048236844720372,0.010623413776176,1534.475,0.0107661376123198,0.0024790473872388,0.0011597422463344,0.996479965725028,-1.0,0.8319733734163598,0.0166903981516307,-0.0089799043576379,-0.0071921779556332,-0.004476893122125,-0.0020016473771641,-0.0042228852146205,0.1216737697816996,0.0114626949281263,0.0681092430408975,0.0719579250207944
2393,2015-12-01,1537.9,1548.2,1536.8,1543.3,1543.3,109856,54260,55596,0.0035701573087054,0.0078536246795815,1541.55,0.0060011628118787,0.0024722078217925,0.0011613719678627,0.9884536734850308,-1.0,0.5572214432099977,0.0081852149421613,-0.0030420147486194,6.479831526640112e-05,-0.0076811737993889,0.0015536330319739,-0.0006256961749036,-0.2670240967405513,0.00964691618352,0.0681880810650549,0.1245828624911616
2394,2015-12-02,1543.4,1544.0,1523.6,1527.4,1527.4,114381,56419,57962,-0.0103560374525022,-0.0195924463300325,1534.6,0.0109541560572475,0.003139746266888,0.0012415606485203,1.04573115084511,-1.0,0.789030446987686,0.0125520136518091,-0.0052718457337598,-0.0139780580994299,-0.0150750093305749,-0.0087097096577207,-0.0104545323144436,0.2518830996102332,0.0116505186816743,0.0792859447824124,-0.0247240772590816
